Cultura,Região,Tipo de Solo,Tipo de Irrigação,Tipo de Fertilizante,Área (ha),Produtividade (sacas/ha),Status de Produção
Arroz,Nordeste,Misto,Seca,Químico,76.91,33.67,Baixa
Arroz,Sudeste,Arenoso,Seca,Nenhum,32.86,97.87,Alta
Café,Sul,Argiloso,Irrigado,Químico,68.99,90.66,Alta
Milho,Centro-Oeste,Argiloso,Irrigado,Orgânico,90.31,72.04,Alta
Trigo,Centro-Oeste,Argiloso,Seca,Químico,2.01,54.53,Baixa
Milho,Sudeste,Misto,Seca,Químico,85.57,66.95,Baixa
Café,Norte,Misto,Seca,Químico,96.61,39.81,Baixa
Milho,Norte,Arenoso,Seca,Orgânico,22.67,62.56,Baixa
Café,Norte,Arenoso,Irrigado,Químico,14.62,86.7,Alta
Milho,Sul,Arenoso,Irrigado,Químico,7.03,69.81,Baixa
Soja,Sudeste,Misto,Irrigado,Nenhum,46.36,70.05,Alta
Trigo,Norte,Misto,Seca,Orgânico,51.11,95.25,Alta
Soja,Sul,Argiloso,Seca,Orgânico,72.5,45.71,Baixa
Milho,Norte,Arenoso,Irrigado,Orgânico,3.52,94.09,Alta
Soja,Nordeste,Misto,Seca,Nenhum,98.91,66.12,Baixa
Milho,Sul,Siltoso,Irrigado,Orgânico,93.31,76.49,Alta
Arroz,Centro-Oeste,Argiloso,Irrigado,Nenhum,6.67,99.68,Alta
Café,Nordeste,Misto,Irrigado,Nenhum,57.9,97.74,Alta
Trigo,Nordeste,Argiloso,Seca,Orgânico,27.41,35.9,Baixa
Café,Sudeste,Arenoso,Irrigado,Orgânico,56.41,32.53,Baixa
Trigo,Sudeste,Siltoso,Seca,Orgânico,91.33,71.71,Alta
Milho,Centro-Oeste,Misto,Seca,Nenhum,38.56,42.22,Baixa
Café,Sudeste,Argiloso,Seca,Químico,79.36,99.55,Alta
Café,Nordeste,Siltoso,Seca,Nenhum,55.23,65.22,Baixa
Arroz,Sul,Arenoso,Irrigado,Orgânico,86.31,88.69,Alta
Milho,Centro-Oeste,Misto,Irrigado,Químico,98.79,66.76,Baixa
Arroz,Centro-Oeste,Arenoso,Irrigado,Orgânico,91.39,64.0,Baixa
Trigo,Centro-Oeste,Siltoso,Seca,Orgânico,93.16,43.19,Baixa
Café,Norte,Misto,Seca,Químico,52.19,89.96,Alta
Arroz,Norte,Arenoso,Seca,Orgânico,76.82,36.69,Baixa
Trigo,Norte,Siltoso,Irrigado,Orgânico,13.24,85.65,Alta
Milho,Nordeste,Siltoso,Irrigado,Nenhum,59.79,34.61,Baixa
Trigo,Sudeste,Argiloso,Irrigado,Orgânico,59.94,85.89,Alta
Soja,Sul,Arenoso,Irrigado,Nenhum,57.5,99.76,Alta
Soja,Sudeste,Arenoso,Seca,Orgânico,52.87,74.76,Alta
Arroz,Sudeste,Siltoso,Irrigado,Orgânico,90.14,93.9,Alta
Milho,Centro-Oeste,Misto,Irrigado,Nenhum,64.76,45.02,Baixa
Soja,Sudeste,Arenoso,Irrigado,Orgânico,30.65,44.2,Baixa
Trigo,Nordeste,Argiloso,Seca,Nenhum,86.03,39.93,Baixa
Milho,Sudeste,Misto,Seca,Químico,1.97,95.6,Alta
Café,Sudeste,Misto,Irrigado,Químico,19.6,50.93,Baixa
Milho,Sul,Siltoso,Irrigado,Orgânico,72.71,44.1,Baixa
Café,Sul,Misto,Seca,Nenhum,56.37,38.89,Baixa
Café,Centro-Oeste,Siltoso,Seca,Nenhum,54.53,95.84,Alta
Café,Nordeste,Misto,Irrigado,Orgânico,71.38,54.79,Baixa
Milho,Norte,Siltoso,Seca,Químico,49.47,66.4,Baixa
